Term,Class,Example
PID,RecordLevel,SuperStableInsititutionID345
rightsHolder,RecordLevel,Field Museum of Natural History
addressLocality,Address,Chicago
addressCountry,Address,USA
addressRegion,Address,IL
streetAddress,Address,1400 S Du Sable Lake Shore Drive
postalCode,Address,60605
addressType,Address,Physical
contactDetailCategory,ContactDetail,Phone number
contactDetailType,ContactDetail,General enquiries
contactDetailValue,ContactDetail,+(1) 312-922-9410
role,PersonRole,Primary Collection Description record contact
fullName,Person,Technology Department
role,PersonRole,President and CEO
fullName,Person,Dr Julian Siggers
role,PersonRole,Head of Collections
fullName,Person,Deborah Bekken
identifierSource,Identifier,Field Museum of Natural History
identifier,Identifier,FM
identifierSource,Identifier,Field Museum of Natural History
identifier,Identifier,FMNH
identifierSource,Identifier,grscicoll
identifier,Identifier,https://www.gbif.org/grscicoll/institution/e71f36f1-e271-4720-a604-3c5a1418e7aa
identifierSource,Identifier,grbio
identifier,Identifier,http://grbio.org/institution/field-museum-natural-history
identifierSource,Identifier,lsid
identifier,Identifier,http://biocol.org/urn:lsid:biocol.org:col:34795
status,CollectionHistory,founded
statusStartDate,CollectionHistory,1893-01-02
organisationalUnitName,OrganisationalUnit,Field Museum of Natural History
organisationalUnitAlternativeName,OrganisationalUnit,Columbian Museum of Chicago
organisationalUnitAlternativeName,OrganisationalUnit,Chicago Natural History Museum
organisationalUnitAlternativeName,OrganisationalUnit,Field Museum
organisationalUnitAlternativeName,OrganisationalUnit,CNHM
organisationalUnitType,OrganisationalUnit,Museum
resourceURI,Reference,https://www.fieldmuseum.org
referenceType,Reference,Website
referenceText,Reference,FMNH website
