Term,Class,Example
PID,RecordLevel,SuperStableRecordID963
rightsHolder,RecordLevel,Field Museum of Natural History
addressLocality,Address,Chicago
addressCountry,Address,USA
addressRegion,Address,IL
streetAddress,Address,1400 S Du Sable Lake Shore Drive
postalCode,Address,60605
addressType,Address,Physical
contactDetailCategory,ContactDetail,Phone number
contactDetailType,ContactDetail,General enquiries
contactDetailValue,ContactDetail,+(1) 312-922-9410
role,PersonRole,Primary Collection Description record contact
fullName,Person,Technology Department
role,PersonRole,Head of Collections
fullName,Person,Deborah Bekken
identifier,Identifier,FM
identifierSource,Identifier,Field Museum of Natural History
identifierType,Identifier,acronym
identifier,Identifier,FMNH
identifierSource,Identifier,Field Museum of Natural History
identifierType,Identifier,acronym
identifier,Identifier,F
identifierSource,Identifier,Index Herbariorum
identifierType,Identifier,acronym
status,CollectionHistory,founded
statusStartDate,CollectionHistory,1893-01-02
organisationalUnitParentInstitutionID,OrganisationalUnit,SuperStableInsititutionID345
resourceURI,Reference,https://www.fieldmuseum.org
referenceType,Reference,Website
referenceText,Reference,FMNH website
discipline,ObjectGroup,Anthropology | Botany | Geology | Zoology | Photo Archives
typeOfCollection,ObjectGroup,PreservedSpecimens | FossilSpecimens | MineralSpecimens | ArchaeologicalArtefacts | EthnographicObjects | HumanRemains | HominidRemains | MaterialSamples
description,ObjectGroup,"The Field Museum of Natural History (FMNH), also known as The Field Museum, is a natural history museum in Chicago, Illinois, and is one of the largest such museums in the world.[4] The museum is a popular natural-history museum for the size and quality of its educational and scientific programs,[5][6] as well as due to its extensive scientific-specimen and artifact collections.[7] The permanent exhibitions,[8] which attract up to two million visitors annually, include fossils, current cultures from around the world, and interactive programming demonstrating today's urgent conservation needs.[9][10] The museum is named in honor of its first major benefactor, the department-store magnate Marshall Field. The museum and its collections originated from the 1893 World’s Columbian Exposition and the artifacts displayed at the fair.[11]"
measurementValue,MeasurementOrFact,"40,000,000"
measurementUnit,MeasurementOrFact,items
