namespace,tdwgutility_organizedInClass,term_localName,datatype
schema:,Address,addressCountry,string
schema:,Address,addressLocality,string
schema:,Address,addressRegion,string
ltc:,Address,addressType,string
ltc:,Address,hasIdentifier,array
schema:,Address,postalCode,string
schema:,Address,postOfficeBoxNumber,string
schema:,Address,streetAddress,string
dwc:,ChronometricAge,chronometricAgeProtocol,string
dwc:,ChronometricAge,chronometricAgeRemarks,string
dwc:,ChronometricAge,chronometricAgeUncertaintyInYears,number
dwc:,ChronometricAge,earliestChronometricAge,number
dwc:,ChronometricAge,earliestChronometricAgeReferenceSystem,string
ltc:,ChronometricAge,hasIdentifier,array
ltc:,ChronometricAge,hasMeasurementOrFact,array
ltc:,ChronometricAge,hasReference,array
dwc:,ChronometricAge,latestChronometricAge,number
dwc:,ChronometricAge,latestChronometricAgeReferenceSystem,string
dwc:,ChronometricAge,verbatimChronometricAge,string
ltc:,CollectionDescriptionScheme,basisOfScheme,string
ltc:,CollectionDescriptionScheme,isDistinctObjects,boolean
ltc:,CollectionDescriptionScheme,schemeName,string
ltc:,CollectionStatusHistory,hasIdentifier,array
ltc:,CollectionStatusHistory,hasMeasurementOrFact,array
ltc:,CollectionStatusHistory,hasReference,array
ltc:,CollectionStatusHistory,hasTemporalCoverage,array
ltc:,CollectionStatusHistory,status,string
ltc:,CollectionStatusHistory,statusChangeReason,string
ltc:,CollectionStatusHistory,statusType,string
ltc:,ContactDetail,contactDetailCategory,string
ltc:,ContactDetail,contactDetailFunction,array
ltc:,ContactDetail,contactDetailValue,string
ltc:,ContactDetail,hasIdentifier,array
ltc:,EcologicalContext,biogeographicRealm,string
ltc:,EcologicalContext,biome,string
ltc:,EcologicalContext,biomeType,string
ltc:,EcologicalContext,bioregion,string
ltc:,EcologicalContext,ecoregion,string
ltc:,EcologicalContext,ecosystem,string
dwc:,EcologicalContext,habitat,string
ltc:,EcologicalContext,hasIdentifier,array
ltc:,EcologicalContext,hasMeasurementOrFact,array
ltc:,EcologicalContext,hasReference,array
ltc:,Event,eventName,string
ltc:,Event,hasEcologicalContext,array
ltc:,Event,hasGeographicContext,array
ltc:,Event,hasIdentifier,array
ltc:,Event,hasMeasurementOrFact,array
ltc:,Event,hasParentEvent,array
ltc:,Event,hasPersonRole,array
ltc:,Event,hasReference,array
ltc:,Event,hasTemporalCoverage,array
dwc:,Event,samplingProtocol,array
dwc:,Event,verbatimEventDate,string
dwc:,GeographicContext,continent,string
dwc:,GeographicContext,country,string
dwc:,GeographicContext,countryCode,string
dwc:,GeographicContext,county,string
ltc:,GeographicContext,ecoRegion,string
ltc:,GeographicContext,hasIdentifier,array
ltc:,GeographicContext,hasMeasurementOrFact,array
ltc:,GeographicContext,hasReference,array
dwc:,GeographicContext,island,string
dwc:,GeographicContext,islandGroup,string
dwc:,GeographicContext,locality,string
dwc:,GeographicContext,municipality,string
ltc:,GeographicContext,region,string
ltc:,GeographicContext,salinityType,string
dwc:,GeographicContext,stateProvince,string
dwc:,GeographicContext,waterBody,string
ltc:,GeographicContext,waterBodyType,string
dwc:,GeologicalContext,bed,string
dwc:,GeologicalContext,earliestAgeOrLowestStage,string
dwc:,GeologicalContext,earliestEonOrLowestEonothem,string
dwc:,GeologicalContext,earliestEpochOrLowestSeries,string
dwc:,GeologicalContext,earliestEraOrLowestErathem,string
dwc:,GeologicalContext,earliestPeriodOrLowestSystem,string
dwc:,GeologicalContext,formation,string
dwc:,GeologicalContext,group,string
ltc:,GeologicalContext,hasIdentifier,array
ltc:,GeologicalContext,hasMeasurementOrFact,array
ltc:,GeologicalContext,hasReference,array
dwc:,GeologicalContext,latestAgeOrHighestStage,string
dwc:,GeologicalContext,latestEonOrHighestEonothem,string
dwc:,GeologicalContext,latestEpochOrHighestSeries,string
dwc:,GeologicalContext,latestEraOrHighestErathem,string
dwc:,GeologicalContext,latestPeriodOrHighestSystem,string
dwc:,GeologicalContext,member,string
ltc:,Identifier,hasReference,array
ltc:,Identifier,identifierSource,string
ltc:,Identifier,identifierType,string
ltc:,Identifier,identifierValue,string
ltc:,LatimerCoreScheme,hasIdentifier,array
ltc:,LatimerCoreScheme,hasObjectGroup,array
ltc:,LatimerCoreScheme,hasReference,array
