term_localName,skos_mappingRelation,related_termName
Address,narrowMatch,schema:PostalAddress
addressCountry,exactMatch,schema:addressCountry
addressLocality,exactMatch,schema:addressLocality
addressRegion,exactMatch,schema:addressRegion
addressType,broadMatch,schema:contactType
postalCode,exactMatch,schema:postalCode
postOfficeBoxNumber,exactMatch,schema:postOfficeBoxNumber
streetAddress,exactMatch,schema:streetAddress
hasIdentifier,broadMatch,dcterms:relation
ChronometricAge,exactMatch,dwc:ChronometricAge
chronometricAgeProtocol,exactMatch,dwc:chronometricAgeProtocol
chronometricAgeRemarks,exactMatch,dwc:chronometricAgeRemarks
chronometricAgeUncertaintyInYears,exactMatch,dwc:chronometricAgeUncertaintyInYears
earliestChronometricAge,exactMatch,dwc:earliestChronometricAge
earliestChronometricAgeReferenceSystem,exactMatch,dwc:earliestChronometricAgeReferenceSystem
latestChronometricAge,exactMatch,dwc:latestChronometricAge
latestChronometricAgeReferenceSystem,exactMatch,dwc:latestChronometricAgeReferenceSystem
verbatimChronometricAge,exactMatch,dwc:verbatimChronometricAge
hasReference,broadMatch,dcterms:relation
hasMeasurementOrFact,broadMatch,dcterms:relation
schemeName,broadMatch,dcterms:title
statusType,broadMatch,dcterms:type
hasTemporalCoverage,broadMatch,dcterms:relation
contactDetailCategory,broadMatch,dcterms:type
contactDetailValue,narrowMatch,schema:email
contactDetailValue,narrowMatch,schema:faxNumber
contactDetailValue,narrowMatch,schema:telephone
Event,closeMatch,dwc:Event
habitat,exactMatch,dwc:habitat
samplingProtocol,broadMatch,dwc:samplingProtocol
hasPersonRole,broadMatch,dcterms:relation
verbatimEventDate,exactMatch,dwc:verbatimEventDate
GeographicOrigin,broadMatch,dwc:Location
continent,exactMatch,dwc:continent
locality,exactMatch,dwc:locality
region,relatedMatch,dwc:locality
waterBody,exactMatch,dwc:waterBody
waterBodyType,broadMatch,dcterms:type
islandGroup,exactMatch,dwc:islandGroup
island,exactMatch,dwc:island
country,exactMatch,dwc:country
countryCode,exactMatch,dwc:countryCode
stateProvince,exactMatch,dwc:stateProvince
county,exactMatch,dwc:county
municipality,exactMatch,dwc:municipality
GeologicalContext,closeMatch,dwc:GeologicalContext
bed,exactMatch,dwc:bed
earliestAgeOrLowestStage,exactMatch,dwc:earliestAgeOrLowestStage
earliestEonOrLowestEonothem,exactMatch,dwc:earliestEonOrLowestEonothem
earliestEpochOrLowestSeries,exactMatch,dwc:earliestEpochOrLowestSeries
earliestEraOrLowestErathem,exactMatch,dwc:earliestEraOrLowestErathem
earliestPeriodOrLowestSystem,exactMatch,dwc:earliestPeriodOrLowestSystem
formation,exactMatch,dwc:formation
group,exactMatch,dwc:group
latestAgeOrHighestStage,exactMatch,dwc:latestAgeOrHighestStage
latestEonOrHighestEonothem,exactMatch,dwc:latestEonOrHighestEonothem
latestEpochOrHighestSeries,exactMatch,dwc:latestEpochOrHighestSeries
latestEraOrHighestErathem,exactMatch,dwc:latestEraOrHighestErathem
latestPeriodOrHighestSystem,exactMatch,dwc:latestPeriodOrHighestSystem
member,exactMatch,dwc:member
identifier,exactMatch,dcterms:identifier
identifierType,broadMatch,dcterms:type
source,broadMatch,dcterms:source
MeasurementOrFact,closeMatch,dwc:MeasurementOrFact
measurementAccuracy,exactMatch,dwc:measurementAccuracy
measurementMethod,exactMatch,dwc:measurementMethod
measurementRemarks,exactMatch,dwc:measurementRemarks
measurementType,exactMatch,dwc:measurementType
measurementUnit,exactMatch,dwc:measurementUnit
measurementValue,broadMatch,dwc:measurementValue
objectClassificationName,broadMatch,dcterms:title
hasObjectClassification,broadMatch,dcterms:relation
ObjectGroup,broadMatch,dcmitype:Collection
collectionManagementSystem,broadMatch,prov:SoftwareAgent
collectionName,broadMatch,dcterms:title
degreeOfEstablishment,exactMatch,dwc:degreeOfEstablishment
description,broadMatch,dcterms:description
material,relatedMatch,cidoc:Material
objectType,closeMatch,abcd:KindOfUnit
period,closeMatch,cidoc:Period
preparationType,closeMatch,abcd:PreparationType
preservationMethod,closeMatch,abcd:PreservationMethod
preservationMode,closeMatch,abcd-efg:PreservationMode
typeOfObjectGroup,broadMatch,dcterms:type
hasCollectionStatusHistory,broadMatch,dcterms:relation
hasResourceRelationship,broadMatch,dcterms:relation
hasGeographicOrigin,broadMatch,dcterms:relation
hasGeologicalContext,broadMatch,dcterms:relation
hasChronometricAge,broadMatch,dcterms:relation
hasTaxon,broadMatch,dcterms:relation
hasStorageLocation,broadMatch,dcterms:relation
hasEvent,broadMatch,dcterms:relation
hasOrganisationalUnit,broadMatch,dcterms:relation
OrganisationalUnit,broadMatch,org:Organization
OrganisationalUnit,broadMatch,org:OrganizationalUnit
organisationalUnitName,broadMatch,dcterms:title
organisationalUnitType,broadMatch,dcterms:type
hasAddress,broadMatch,dcterms:relation
hasContactDetail,broadMatch,dcterms:relation
Person,closeMatch,prov:Person
additionalName,exactMatch,schema:additionalName
familyName,exactMatch,schema:familyName
fullName,exactMatch,abcd:fullName
givenName,exactMatch,schema:givenName
PersonRole,broadMatch,prov:qualifiedAttribution
endedAtTime,closeMatch,prov:endedAtTime
Role,relatedMatch,prov:Role
startedAtTime,closeMatch,prov:startedAtTime
hasPerson,broadMatch,dcterms:relation
RecordLevel,relatedMatch,dwc:record-level
collectionDescriptionPID,broadMatch,dcterms:identifier
license,broadMatch,dc:license
recordRights,broadMatch,dc:recordRights
rightsHolder,broadMatch,dc:rightsHolder
hasObjectGroup,broadMatch,dcterms:relation
Reference,closeMatch,abcd:Reference
referenceDetails,closeMatch,abcd:details
referenceText,closeMatch,abcd:text
referenceType,broadMatch,dcterms:type
resourceURI,broadMatch,abcd:resourceURI
ResourceRelationship,closeMatch,dwc:ResourceRelationship
relatedResourceID,exactMatch,dwc:relatedResourceID
relatedResourceName,broadMatch,dcterms:title
relationshipAccordingTo,exactMatch,dwc:relationshipAccordingTo
relationshipEstablishedDate,exactMatch,dwc:relationshipEstablishedDate
relationshipOfResource,narrowMatch,dwc:relationshipOfResource
relationshipRemarks,exactMatch,dwc:relationshipRemarks
resourceRelationshipID,exactMatch,dwc:resourceRelationshipID
schemeMeasurementType,broadMatch,dcterms:type
termName,broadMatch,dcterms:title
StorageLocation,relatedMatch,cidoc:Place
locationName,broadMatch,dcterms:title
locationType,broadMatch,dcterms:type
Taxon,broadMatch,dwc:Taxon
genus,exactMatch,dwc:genus
kingdom,exactMatch,dwc:kingdom
scientificName,exactMatch,dwc:scientificName
taxonRank,exactMatch,dwc:taxonRank
